//--- Comparação de ocorrências lexicais entre grupos ---//
//--- Palavra | g16 (Angola) | g02 (Portugal) ---//

aceita               | 44, 17.0370      | 17, 27.9660
aceitabilidade       | 1, 0.3872       | 1, 1.6451
aceitado             | 4, 1.5488       | 9, 14.8056
aceitam              | 26, 10.0673      | 4, 6.5802
aceitam-se           | 3, 1.1616       | 0
aceitamos            | 8, 3.0976       | 2, 3.2901
aceitando            | 12, 4.6465       | 3, 4.9352
aceitar              | 142, 54.9832      | 40, 65.8025
aceitar-se           | 6, 2.3232       | 0
aceitaram            | 22, 8.5185       | 4, 6.5802
aceitarei            | 2, 0.7744       | 1, 1.6451
aceitarem            | 6, 2.3232       | 4, 6.5802
aceitaremos          | 4, 1.5488       | 0
aceitaria            | 6, 2.3232       | 0
aceitariam           | 2, 0.7744       | 1, 1.6451
aceitarmos           | 1, 0.3872       | 0
aceitará             | 5, 1.9360       | 1, 1.6451
aceitaríamos         | 2, 0.7744       | 0
aceitasse            | 2, 0.7744       | 0
aceitava             | 4, 1.5488       | 2, 3.2901
aceitavam            | 2, 0.7744       | 1, 1.6451
aceitação            | 34, 13.1650      | 5, 8.2253
aceite               | 58, 22.4579      | 14, 23.0309
aceitei              | 4, 1.5488       | 2, 3.2901
aceitem              | 17, 6.5825       | 0
aceitemos            | 3, 1.1616       | 0
aceites              | 24, 9.2929       | 9, 14.8056
aceito               | 3, 1.1616       | 0
aceitou              | 63, 24.3939      | 19, 31.2562
aceitá-la            | 2, 0.7744       | 0
aceitámos            | 0               | 1, 1.6451
aceitáveis           | 9, 3.4848       | 2, 3.2901
aceitável            | 52, 20.1347      | 3, 4.9352
acelera              | 3, 1.1616       | 0
acelera-lo           | 2, 0.7744       | 0
acelerada            | 12, 4.6465       | 2, 3.2901
aceleradamente       | 1, 0.3872       | 0
acelerado            | 17, 6.5825       | 5, 8.2253
acelerador           | 1, 0.3872       | 1, 1.6451
aceleradores         | 0               | 1, 1.6451
acelerados           | 2, 0.7744       | 0
aceleram             | 1, 0.3872       | 1, 1.6451
aceleramento         | 2, 0.7744       | 0
acelerando           | 2, 0.7744       | 1, 1.6451
acelerar             | 62, 24.0067      | 10, 16.4506
acelerarem           | 1, 0.3872       | 0
aceleração           | 37, 14.3266      | 4, 6.5802
acelere              | 5, 1.9360       | 0
acelerem             | 0               | 1, 1.6451
acelerou             | 0               | 1, 1.6451
acelerou-se          | 2, 0.7744       | 0
acena                | 4, 1.5488       | 1, 1.6451
acenar               | 8, 3.0976       | 1, 1.6451
acenar-lhe           | 0               | 1, 1.6451
